线索来源,日期,车次/车牌/航班/场所名,出行类型,出发站,到达站,车厢,出行描述,开始时间,结束时间,提交时间,事件备注
 云南网 , 01-22 ,KY8310,  飞机  ,武汉,腾冲,,座位号：21D,1/22/2020 21:21,1/22/2020 0:16,1/27/2020 20:09,
 淮南发布 , 01-22 ,淮南市23路公交车,  公交车  ,淮南南站,淮南市华建医院车站,,,1/22/2020 13:00,1/22/2020 13:30,1/31/2020 22:12,
 淮南发布 , 01-22 ,淮南市9路车,  公交车  ,淮南市华建医院车站,淮南市安成铺站,,,1/22/2020 14:00,1/22/2020 14:20,1/31/2020 22:12,
 淮南发布 , 01-22 ,淮南市111路车,  公交车  ,淮南市安成铺站,淮南市李咀孜车站,,,1/22/2020 14:20,1/22/2020 23:59,1/31/2020 22:12,
 海南省卫生健康委员会 , 01-22 ,粤G52041,  长途客车/大巴  ,湛江,海安,,,1/22/2020 7:15,1/22/2020 23:59,2/2/2020 1:15,
 宿州发布 , 01-22 ,泗县同辉广场“蛙知道”餐厅,  其它公共场所  ,,,,,1/22/2020 12:00,1/22/2020 23:59,1/31/2020 22:12,
 宿州发布 , 01-22 ,泗县同辉广场四楼奶茶店,  其它公共场所  ,,,,,1/22/2020 14:00,1/22/2020 14:30,1/31/2020 22:12,
 宿州发布 , 01-22 ,宿州市埇桥区西关街道汤泉宫浴池,  其它公共场所  ,,,,,1/22/2020 11:00,1/22/2020 13:00,1/31/2020 22:12,
 安庆之声 , 01-22 ,望江县赛口镇兴龙村黄屋祠堂落成酒宴,  其它公共场所  ,,,,望江县赛口镇兴龙村黄屋祠堂落成酒宴,1/22/2020 0:00,1/22/2020 23:59,1/31/2020 22:12,
 资阳市雁江区新型冠状病毒感染的肺炎疫情防控指挥部 , 01-22 ,资阳陈家巷乐至烧烤店,  其它公共场所  ,,,,雁江区体育路4栋1层2号,1/22/2020 0:30,1/22/2020 1:30,2/3/2020 1:49,
 现代快报全媒体 , 01-22 ,徐州 滴滴 苏CD32378,  出租车  ,沛县翰林世家3号楼,人民医院,,,1/22/2020 20:07,1/22/2020 23:59,1/27/2020 20:50,
 河南省人民政府门户网站 , 01-22 ,G586,  火车  ,武汉,郑州东,11号车厢,,1/22/2020 10:42,1/22/2020 12:28,1/31/2020 22:12,
 资阳市雁江区新型冠状病毒感染的肺炎疫情防控指挥部 , 01-22 ,M27141,  长途客车/大巴  ,资阳城北客运站,伍隍镇公共汽车站,,资阳到金带,1/22/2020 10:00,1/22/2020 11:00,2/3/2020 1:49,
 新浪江西 , 01-22 ,K1655/K1658,  火车  ,武昌,吉安,13号车厢,13车厢02号中铺，硬卧,1/22/2020 11:11,1/22/2020 19:17,2/2/2020 11:23,
 新浪江西 , 01-22 ,赣D03080D,  长途客车/大巴  ,吉安火车站,永新县,,吉安至永新的大巴,1/22/2020 19:40,1/22/2020 22:20,2/2/2020 11:24,
 合肥交通广播 , 01-22 ,合肥地铁2号线,  地铁  ,龙岗站,王岗站,第3节车厢,1412次0203车第3节车厢,1/22/2020 17:07,1/22/2020 17:09,2/2/2020 11:46,
 合肥交通广播 , 01-22 ,合肥地铁2号线,  地铁  ,王岗站,龙岗站,第3节车厢,0915次0202车第3节车厢,1/22/2020 18:00,1/22/2020 18:03,2/2/2020 11:47,
 大渝网 , 01-22 ,D627,  火车  ,汉口,重庆北,14号车厢,,1/22/2020 7:31,1/22/2020 14:05,2/5/2020 0:19,
 新文化报 , 01-22 ,C1001,  火车  ,长春,延吉西,2号车厢,座位：03C,1/22/2020 5:38,1/22/2020 7:57,2/5/2020 0:19,
 中央广播电视总台国际在线 , 01-22 ,D2263,  火车  ,天门南,遂宁,14号车厢,14车厢02C座,1/22/2020 14:47,1/22/2020 22:20,2/4/2020 1:26,
 海报新闻 , 01-22 ,HU7659,  飞机  ,武汉,青岛,,,1/22/2020 12:00,1/22/2020 14:00,1/27/2020 21:03,
 汕头发布 , 01-22 ,K799,  火车  ,武昌,汕头,12号车厢,,1/22/2020 11:52,1/22/2020 7:51,2/4/2020 1:26,
 蚌埠发布 , 01-22 ,G126,  火车  ,合肥南,蚌埠南,10号车厢,10车01C,1/22/2020 12:08,1/22/2020 13:08,2/5/2020 0:19,
 大理发布 , 01-22 ,JD5840,  飞机  ,武汉,丽江,,,1/22/2020 23:00,1/23/2020 1:59,2/3/2020 1:50,
 汕头发布 , 01-22 ,K799,  火车  ,武昌,汕头,13号车厢,,1/22/2020 11:52,1/22/2020 7:51,2/4/2020 1:26,
 邹城市卫健局 , 01-22 ,D2214,  火车  ,汉口,合肥南,3号车厢,3车2A,1/22/2020 13:56,1/22/2020 16:01,2/4/2020 1:26,
 蚌埠发布 , 01-22 ,D3034,  火车  ,汉口,合肥南,7号车厢,座位：17D,1/22/2020 9:00,1/22/2020 10:50,2/5/2020 0:19,
 闪电新闻 , 01-22 ,G4,  火车  ,南京南,济南西,17号车厢,座次17车03F,1/22/2020 15:00,1/22/2020 17:01,1/27/2020 21:06,
 邹城市卫健局 , 01-22 ,G270,  火车  ,合肥南,曲阜东,8号车厢,8车9B,1/22/2020 16:25,1/22/2020 18:48,2/4/2020 1:26,
 枣庄发布 , 01-22 ,D2190,  火车  ,汉口,合肥,1号车厢,08F座,1/22/2020 9:36,1/22/2020 11:54,2/4/2020 1:26,
 闪电新闻 , 01-22 ,G475,  火车  ,济南西,淄博,8号车厢,座次8车10D,1/22/2020 0:00,1/22/2020 23:59,1/27/2020 21:07,
 枣庄发布 , 01-22 ,G126,  火车  ,合肥,枣庄西,4号车厢,14C座位,1/22/2020 12:08,1/22/2020 14:10,2/4/2020 1:26,
 遂宁发布 , 01-22 ,D2262,  火车  ,天门,遂宁,14号车厢,,1/22/2020 14:47,1/22/2020 22:20,2/4/2020 1:26,
 合肥在线 , 01-22 ,D4832,  火车  ,武昌,合肥南,4号车厢,18F,1/22/2020 21:50,1/22/2020 23:58,1/31/2020 22:12,
 安徽发布 , 01-22 ,G4012,  火车  ,广州,颍上,10号车厢,,1/22/2020 6:28,1/22/2020 14:32,2/4/2020 1:26,
 人民日报 , 01-22 ,G4820,  火车  ,汉口,郑州,4号车厢,,1/22/2020 0:00,1/22/2020 23:59,2/4/2020 1:26,
 仙游今报 , 01-22 ,D3272,  火车  ,汉口,莆田,2号车厢,,1/22/2020 12:37,1/22/2020 19:21,2/3/2020 1:50,
 人民日报 , 01-22 ,G74,  火车  ,武汉,驻马店,11号车厢,,1/22/2020 13:49,1/22/2020 15:01,2/4/2020 1:26,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-22 ,JD5627,  飞机  ,武汉,沈阳,,"三亚起飞,经武汉到沈阳",1/22/2020 13:45,1/22/2020 16:45,2/2/2020 15:13,
 人民日报 , 01-22 ,Z4176,  火车  ,武昌,郑州,,现住郑州市二七区长江一号小区,1/22/2020 12:00,1/22/2020 17:47,2/4/2020 1:26,
 淮南市疾控中心 , 01-22 ,G1746,  火车  ,汉口,淮南南,8号车厢,,1/22/2020 9:37,1/22/2020 12:29,1/27/2020 21:21,
 淮南市疾控中心 , 01-22 ,淮南23路公交车,  公交车  ,淮南南站,华建医院车站,,,1/22/2020 13:00,1/22/2020 13:30,1/27/2020 21:21,
 淮南市疾控中心 , 01-22 ,淮南9路公交车,  公交车  ,华建医院车站,安成铺,,,1/22/2020 14:00,1/22/2020 23:59,1/27/2020 21:22,
 淮南市疾控中心 , 01-22 ,淮南111路公交车,  公交车  ,安成铺,李咀孜车站,,,1/22/2020 0:00,1/22/2020 23:59,1/27/2020 21:23,
 大渝网 , 01-22 ,C6418,  火车  ,长寿北,梁平南,16号车厢,座位：13F,1/22/2020 14:01,1/22/2020 14:54,2/5/2020 0:19,
 大渝网 , 01-22 ,D633,  火车  ,汉口,长寿,14号车厢,座位：10F,1/22/2020 6:50,1/22/2020 13:15,2/5/2020 0:19,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-22 ,G382,  火车  ,长春西,葫芦岛北,16号车厢,,1/22/2020 17:19,1/22/2020 20:21,2/2/2020 15:13,
 石家庄日报 , 01-22 ,Z50,  火车  ,汉口,保定,2号车厢,,1/22/2020 23:28,1/23/2020 8:33,2/5/2020 0:19,
 人民日报、广西壮族自治区新型冠状病毒感染的肺炎防控指挥部 , 01-22 ,G431,  火车  ,武汉,桂林北,,同乘车次939人,1/22/2020 7:06,1/22/2020 12:06,1/28/2020 0:57,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-22 ,D8076,  火车  ,沈阳,锦州南,2号车厢,,1/22/2020 18:48,1/22/2020 20:28,2/2/2020 15:13,
 山西发布 , 01-22 ,晋M0877X公交1路,  长途客车/大巴  ,新纺,学府花园,,,1/22/2020 17:22,1/22/2020 23:59,2/4/2020 1:26,
 云南发布 , 01-22 ,云E27098客运班车,  长途客车/大巴  ,楚雄南客运站,大姚,,,1/22/2020 10:36,1/22/2020 23:59,2/4/2020 1:26,
 临沂宣传 , 01-22 ,苏GE6189客运班车,  长途客车/大巴  ,东海县,临沭汽车站,,,1/22/2020 5:00,1/22/2020 8:00,2/4/2020 1:26,
 临沂宣传 , 01-22 ,鲁QF3298公交3路,  长途客车/大巴  ,临沭汽车站,玉华亭站,,,1/22/2020 8:00,1/22/2020 13:00,2/4/2020 1:26,
 共青团娄底  , 01-22 ,G4653,  火车  ,武汉,长沙南,2号车厢,018D号座,1/22/2020 20:05,1/22/2020 21:30,2/2/2020 17:50,
 济南城市频道 , 01-22 ,未知,  出租车  ,济南西站,济南槐荫区人民医院,,1月22日12时30分左右，济南西站至槐荫区人民医院出租车司机,1/22/2020 12:30,1/23/2020 7:59,1/31/2020 22:12,
 共青团娄底  , 01-22 ,G1107,  火车  ,武汉,长沙南,6号车厢,011F号座,1/22/2020 8:26,1/22/2020 10:12,2/2/2020 18:02,
 西昌市人民政府 , 01-22 ,G8530,  火车  ,重庆北,成都东,6号车厢,,1/22/2020 14:07,1/22/2020 16:06,2/5/2020 0:19,
 共青团娄底  , 01-22 ,G1535,  火车  ,长沙南,新化南,3号车厢,"无座, 3车厢与4车厢交界处",1/22/2020 12:47,1/22/2020 13:55,2/2/2020 18:06,
 西昌市人民政府 , 01-22 ,D623,  火车  ,宜昌东,重庆北,2号车厢,,1/22/2020 8:00,1/22/2020 12:37,2/5/2020 0:19,
 共青团娄底  , 01-22 ,G1535,  火车  ,长沙南,新化南,4号车厢,"无座, 3车厢与4车厢交界处",1/22/2020 12:47,1/22/2020 13:55,2/2/2020 18:06,
 中山日报，广州日报 , 01-22 ,K799,  火车  ,武昌站,揭阳南站,12号车厢,,1/22/2020 11:52,1/22/2020 23:59,2/3/2020 1:50,
 辽沈晚报 , 01-22 ,D8076,  火车  ,沈阳,锦州南,,,1/22/2020 18:53,1/22/2020 20:30,2/5/2020 0:19,
 平安湛江 , 01-22 ,金紫荆号轮渡HA1030航班,  轮船  ,海口,徐闻,,,1/22/2020 10:30,1/22/2020 23:59,2/2/2020 18:40,
 广西卫生健康委员会 , 01-22 ,Z338,  火车  ,武汉,桂林北,8号车厢,座位号：71,1/22/2020 7:21,1/22/2020 16:17,2/3/2020 14:55,
 红星新闻、成都市卫健委 , 01-22 ,CA8221,  飞机  ,武汉,成都,,24-30排,1/22/2020 0:00,1/22/2020 23:59,1/28/2020 16:21,
 广西卫生健康委员会 , 01-22 ,Z338,  火车  ,武汉,柳州,2号车厢,座位号：69,1/22/2020 7:21,1/22/2020 17:55,2/3/2020 14:55,
 信阳市新型冠状病毒感染的肺炎疫情防控工作指挥部办公室 , 01-22 ,G556,  火车  ,汉口,信阳东,15号车厢,,1/22/2020 10:45,1/22/2020 11:37,2/4/2020 1:29,
 扬子晚报 , 01-22 ,南京2号线,  地铁  ,马群站,苏宁总部地铁站,,6:30 上车，并于金马路站换乘4号线,1/22/2020 6:30,1/22/2020 0:00,1/31/2020 22:12,
 信阳市新型冠状病毒感染的肺炎疫情防控工作指挥部办公室 , 01-22 ,G524,  火车  ,汉口,信阳东,06号车厢,,1/22/2020 15:20,1/22/2020 16:14,2/4/2020 1:29,
 人民日报 , 01-22 ,C5749,  火车  ,南充,成都,4号车厢,,1/22/2020 15:43,1/22/2020 17:41,2/6/2020 14:56,
 红星新闻、成都市卫健委 , 01-22 ,D615,  火车  ,武汉汉口,成都东,5号车厢,,1/22/2020 0:00,1/22/2020 23:59,1/28/2020 16:23,
 恩施电视台，利川市新型冠状病毒感染的肺炎防控指挥部 , 01-22 ,D5883,  火车  ,汉口,利川,3号车厢,座位：17C,1/22/2020 9:14,1/22/2020 14:03,2/5/2020 0:19,
 人民日报 , 01-22 ,G508,  火车  ,汉口,信阳,7号车厢,,1/22/2020 7:10,1/22/2020 8:01,2/6/2020 14:56,
 人民日报 , 01-22 ,K4094,  火车  ,汉口,淮滨,12号车厢,,1/22/2020 5:50,1/22/2020 11:51,2/6/2020 14:56,
 恩施电视台，利川市新型冠状病毒感染的肺炎防控指挥部 , 01-22 ,D5756,  火车  ,武汉,利川,11号车厢,座位：14D,1/22/2020 10:20,1/22/2020 15:04,2/5/2020 0:19,
 人民日报 , 01-22 ,G381,  火车  ,天津,唐山,,,1/22/2020 8:42,1/22/2020 9:16,2/6/2020 14:56,
 恩施电视台，恩施市新型冠状病毒感染的肺炎防控指挥部 , 01-22 ,D2237,  火车  ,武汉,恩施,15号车厢,,1/22/2020 12:06,1/22/2020 16:06,2/5/2020 0:19,
 广西卫生健康委员会 , 01-22 ,G421,  火车  ,武汉,桂林,3号车厢,座位号：003D,1/22/2020 14:44,1/22/2020 19:42,2/3/2020 14:55,
 凉山州政府新闻办 , 01-22 ,MU2646,  飞机  ,武汉,成都,,,1/22/2020 9:55,1/22/2020 13:00,2/4/2020 11:03,
 广西卫生健康委员会 , 01-22 ,MU2681,  飞机  ,武汉,北海,,座位号：35C,1/22/2020 0:00,1/22/2020 23:59,2/3/2020 14:55,
 衡水日报 , 01-22 ,G2060,  火车  ,德州东,衡水北,15号车厢,座位：015C,1/22/2020 20:50,1/22/2020 21:17,2/3/2020 1:49,
 衡水日报 , 01-22 ,G52,  火车  ,南京南,德州东,16号车厢,座位：007C,1/22/2020 16:20,1/22/2020 19:13,2/3/2020 1:49,
 哈尔滨新闻综合频道 , 01-22 ,D8509,  火车  ,哈尔滨,牡丹江,6号车厢,,1/22/2020 8:04,1/22/2020 10:02,2/5/2020 0:19,
 宿州广播电视台 , 01-22 ,宿州市磬云路汇金广场南侧的宿易云超超市、汇金广场北门西侧的乐购超市和磬云路与银河二路交叉口的品尚多超市,  其它公共场所  ,,,,1月22-23日上午8：30-10:30去过,1/22/2020 8:30,1/23/2020 10:30,1/31/2020 22:12,
 人民日报 , 01-22 ,KY8288,  飞机  ,武汉,昆明,,,1/22/2020 0:00,1/22/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-22 ,MF8332,  飞机  ,武汉,天津,,,1/22/2020 0:00,1/22/2020 23:59,2/6/2020 14:56,
 宿州广播电视台 , 01-22 ,宿州市埇桥区汴河街道竹竿园村,  其它公共场所  ,,,,中午参加丧宴,1/22/2020 0:00,1/22/2020 23:59,1/31/2020 22:12,
 郑州晚报 , 01-22 ,G82,  火车  ,武汉,郑州东,12号车厢,,1/22/2020 0:00,1/22/2020 23:59,1/28/2020 16:42,
 泰山晚报 , 01-22 ,山东泰安市泰山景区,  其它公共场所  ,,,,该患者于1月22日6:45通过天外村安检通道，6:49通过检票闸机，乘坐鲁J-C1003号专线车进山。7:33到达中天门索道站，乘坐索道（2号车厢）到南天门。后经天街抵碧霞祠游览后原路返回，8:49左右乘坐索道（5号车厢）到中天门，9:22乘坐鲁J-C1006号专线车下山，9:45从天外村离开景区。,1/22/2020 6:45,1/22/2020 9:45,1/31/2020 22:12,
 郑州晚报 , 01-22 ,G4820,  火车  ,武汉,郑州东,4号车厢,,1/22/2020 0:00,1/22/2020 23:59,1/28/2020 16:42,
 新疆奎屯日报 , 01-22 ,C8721,  火车  ,乌鲁木齐,奎屯,3号车厢,,1/22/2020 9:18,1/22/2020 11:05,1/31/2020 22:12,
 郑州晚报 , 01-22 ,T3038,  火车  ,汉口,郑州,3号车厢,,1/22/2020 0:00,1/22/2020 23:59,1/28/2020 16:42,
 人民日报 , 01-22 ,G8923,  火车  ,北京南,秦皇岛,14号车厢,,1/22/2020 20:31,1/22/2020 22:35,2/3/2020 17:02,
 郑州晚报 , 01-22 ,K262,  火车  ,十堰,郑州,5号车厢,,1/22/2020 0:00,1/22/2020 23:59,1/28/2020 16:44,
 今晚报 , 01-22 ,天津轻轨9号线,  地铁  ,天津站,塘沽站,,从1车3门上车和下车,1/22/2020 11:48,1/22/2020 12:38,1/31/2020 22:12,
 人民日报 , 01-22 ,延吉市1路公交,  公交车  ,延边医院,九中,,,1/22/2020 0:00,1/22/2020 23:59,2/6/2020 14:56,
 湘阴微生活 , 01-22 ,湘F71575,  长途客车/大巴  ,湘阴高岭汽车站,岳阳,,同车共23人,1/22/2020 9:10,1/22/2020 0:00,1/31/2020 22:12,
 绵阳日报社 , 01-22 ,EU1802/H03461,  飞机  ,长沙,成都,,7-11排,1/22/2020 0:00,1/22/2020 23:59,2/3/2020 17:42,
 海林发布、牡丹江市卫生健康委员会 , 01-22 ,D8525,  火车  ,哈尔滨,牡丹江,6号车厢,靠近餐车的座位,1/22/2020 19:06,1/22/2020 20:46,2/4/2020 22:08,
 人民日报 , 01-22 ,Z4176,  火车  ,武昌,郑州,13号车厢,,1/22/2020 12:00,1/22/2020 17:39,2/7/2020 14:05,
 人民日报 , 01-22 ,Z203,  火车  ,北京,哈尔滨,5号车厢,,1/22/2020 20:21,1/22/2020 6:47,2/7/2020 14:05,
 人民日报 , 01-22 ,C9602,  火车  ,南丰,不详,3号车厢,,1/22/2020 0:00,1/22/2020 23:59,2/7/2020 14:05,
 玉溪发布 , 01-22 ,,  长途客车/大巴  ,昆明,易门县客运站,,13:40分左右从家中乘坐途经昆明至易门的客车到易门县客运站,1/22/2020 13:40,1/22/2020 23:59,1/31/2020 22:12,
 营口市人民政府 , 01-22 ,GJ8876,  飞机  ,南昌,沈阳,,,1/22/2020 0:00,1/22/2020 23:59,2/4/2020 23:08,
 人民网 , 01-22 ,EU2738,  飞机  ,长沙,昆明,,,1/22/2020 0:00,1/22/2020 23:59,1/28/2020 18:38,
 营口市人民政府 , 01-22 ,CZ6426,  飞机  ,武汉,大连,,,1/22/2020 0:00,1/22/2020 23:59,2/4/2020 23:08,
 新浪黑龙江微博 , 01-22 ,桦川县创业乡西大村卫生所,  其它公共场所  ,,,,上午就诊,1/22/2020 0:00,1/22/2020 23:59,2/1/2020 0:11,
 淄博市卫生健康委员会 , 01-22 ,JD5137,  飞机  ,武汉,济南,,座位：7E/7F，一男一女两个人,1/22/2020 0:00,1/22/2020 23:59,2/6/2020 16:57,
 济南市卫生健康委员会 , 01-22 ,G258,  火车  ,武汉,济南西,7号车厢,同行3人全部确诊,1/22/2020 7:11,1/22/2020 12:22,2/6/2020 17:42,
 万源市政府办公室，万源市卫生健康局 , 01-22 ,G870,  火车  ,西安北,鄂州,4号车厢,座位：12B,1/22/2020 7:00,1/22/2020 12:19,2/7/2020 13:48,
 浙江新闻 , 01-22 ,Z45,  火车  ,武昌,义乌,13车厢,1月22日22:35-1月23日5:45,1/22/2020 22:35,1/23/2020 5:45,1/28/2020 18:49,
 宿迁网 , 01-22 ,G1742,  火车  ,武汉,徐州东,14号车厢,14车08D座,1/22/2020 14:15,1/22/2020 19:00,1/28/2020 18:54,
 人民日报 , 01-22 ,HU7398,  飞机  ,武汉,海口,,,1/22/2020 0:00,1/22/2020 23:59,2/7/2020 14:05,
 宿城区新型冠状病毒感染的肺炎疫情防控工作指挥部 , 01-22 ,D5689,  火车  ,徐州东,宿迁,3号车厢,03车16F座,1/22/2020 19:00,1/22/2020 19:45,1/28/2020 18:54,
 人民日报 , 01-22 ,GS6526,  飞机  ,武汉,揭阳,,,1/22/2020 0:00,1/22/2020 23:59,2/7/2020 14:05,
 宿城区新型冠状病毒感染的肺炎疫情防控工作指挥部 , 01-22 ,宿迁市埠子镇阳光名邸小区张红旗浴池,  其它公共场所  ,埠子镇,埠子镇,,,1/22/2020 21:50,1/22/2020 21:50,1/28/2020 18:56,
 环球网 , 01-22 ,K1348,  火车  ,武昌,渭南,1号车厢,K1348次列车(深圳东-西安)1号车厢的一名乘客（期间无座）,1/22/2020 23:32,1/23/2020 12:32,1/28/2020 18:58,
 玉溪发布 , 01-22 ,云A07337F,  长途客车/大巴  ,,,,旅游大巴,1/22/2020 0:00,1/22/2020 23:59,2/5/2020 0:19,
 新浪黑龙江 , 01-22 ,D6918,  火车  ,齐齐哈尔,哈尔滨,2号车厢,座位：12A,1/22/2020 14:03,1/22/2020 15:50,2/7/2020 13:48,
 邯郸发布 , 01-22 ,Z150,  火车  ,武昌,邯郸,9号车厢,,1/22/2020 10:14,1/22/2020 17:22,2/3/2020 1:49,
 恩施电视台，利川市新型冠状病毒感染的肺炎防控指挥部 , 01-22 ,利川至柏杨专线车,  长途客车/大巴  ,利川,柏杨坝镇转盘,,,1/22/2020 17:30,1/22/2020 23:59,2/5/2020 0:19,
 福州市闽候县人民政府 , 01-22 ,D3240,  火车  ,福州,宁德,,,1/22/2020 15:49,1/22/2020 16:42,2/7/2020 13:48,
 西宁公交 , 01-22 ,38路（青A 60292）,  公交车  ,师范大学,昆仑十字,,,1/22/2020 7:34,1/22/2020 7:46,1/28/2020 20:13,
 新浪黑龙江 , 01-22 ,Z157,  火车  ,沈阳北,哈尔滨西,11号车厢,座位：7号床下铺,1/22/2020 12:29,1/22/2020 16:55,2/7/2020 13:48,
 西宁公交 , 01-22 ,38路（青A 60900）,  公交车  ,昆仑十字,师范大学,,,1/22/2020 10:35,1/22/2020 10:48,1/28/2020 20:17,
 央视新闻 , 01-22 ,天津狗不理包子总店,  其它公共场所  ,,,,在狗不理总店就餐,1/22/2020 0:00,1/22/2020 23:59,2/1/2020 0:11,
 央视新闻 , 01-22 ,天津瓷房子、古文化街（张家水铺、泥人张）,  其它公共场所  ,,,,去瓷房子参观，又去了古文化街，并在张家水铺买了水、在泥人张买了泥人,1/22/2020 0:00,1/22/2020 23:59,2/1/2020 0:11,
 哈尔滨新闻综合频道 , 01-22 ,黑CA2737,  长途客车/大巴  ,牡丹江客运站,长汀,,实载人数16人,1/22/2020 9:00,1/22/2020 23:59,2/5/2020 0:19,
 大渝网 , 01-22 ,D637,  火车  ,宜昌,涪陵北,5号车厢,,1/22/2020 14:00,1/22/2020 17:57,2/7/2020 13:48,
 西双版纳州疫情防控指挥部 , 01-22 ,CZ6431,  飞机  ,武汉天河机场,西双版纳州,,经停贵阳,1/22/2020 0:00,1/22/2020 23:59,2/1/2020 0:11,
 新浪黑龙江 , 01-22 ,K1303,  火车  ,哈尔滨西,哈尔滨,7号车厢,无座,1/22/2020 17:33,1/22/2020 17:43,2/7/2020 13:48,
 汤阴发布 , 01-22 ,K183,  火车  ,安阳,汤阴,15号车厢,无座，上车后在车门附近,1/22/2020 21:18,1/22/2020 21:35,2/3/2020 1:49,
 汤阴发布 , 01-22 ,Z4176,  火车  ,武昌,安阳,2号车厢,座位：051,1/22/2020 12:00,1/22/2020 19:35,2/3/2020 1:49,
 安徽共青团 , 01-22 ,D2264,  火车  ,汉口,南京南,03号车厢,座位：17D,1/22/2020 18:00,1/22/2020 21:10,2/7/2020 13:48,
 黑龙江广播电视台 , 01-22 ,佳木斯市桦川县万福源超市,  其它公共场所  ,,,,于下午在该超市购物,1/22/2020 0:00,1/22/2020 23:59,2/1/2020 0:11,
 双柏县人民政府 , 01-22 ,MU2428,  飞机  ,武汉,昆明,X仓,座位：41L,1/22/2020 19:30,1/22/2020 23:59,2/5/2020 0:19,
 新浪黑龙江 , 01-22 ,K927,  火车  ,哈尔滨,齐齐哈尔,3号车厢,座位：4号下铺,1/22/2020 18:16,1/22/2020 21:26,2/7/2020 13:48,
 新湖南客户端 , 01-22 ,G1535,  火车  ,长沙南,娄底南,1号车厢,004C座,1/22/2020 0:00,1/22/2020 23:59,1/28/2020 23:17,
 乌鲁木齐晚报 , 01-22 ,新疆乌鲁木齐21路公交车 新AA6054,  公交车  ,水泥厂公交车站,钱塘江路车站,,,1/22/2020 13:00,1/22/2020 13:30,1/29/2020 0:18,
 鞍山共青团 , 01-22 ,G4122,  火车  ,沈阳北,大连北,1号车厢,,1/22/2020 21:34,1/22/2020 23:11,2/7/2020 13:48,
 乌鲁木齐晚报 , 01-22 ,新疆乌鲁木齐51路公交车 新AA5054,  公交车  ,阳光100门前车站,阿勒泰水泵厂车站,,,1/22/2020 13:30,1/22/2020 14:00,1/29/2020 0:19,
 人民日报 , 01-22 ,蒙AY6914,  出租车  ,呼和浩特白塔机场,呼和浩特如意小区东门1号楼附近,,众鑫出租车公司（司机王某某）,1/22/2020 11:12,1/22/2020 11:39,2/1/2020 0:11,
 合肥市卫健委 , 01-22 ,VJ5271,  飞机  ,合肥,越南芽庄,,,1/22/2020 0:00,1/27/2020 23:59,2/7/2020 13:30,
 合肥市卫健委 , 01-22 ,D3016,  火车  ,汉口,合肥南,6号车厢,座位：14D,1/22/2020 7:59,1/22/2020 10:03,2/7/2020 13:32,
 大渝网、重庆市綦江区新型冠状病毒感染的肺炎疫情 , 01-22 ,重庆市綦江区文龙街道九龙大道霍永力诊所,  其它公共场所  ,,,,,1/22/2020 0:00,1/23/2020 23:59,1/29/2020 12:57,
 绵阳晚报 , 01-22 ,EU1802（HO3461）,  飞机  ,长沙,成都,,座位：7-11排,1/22/2020 0:00,1/22/2020 23:59,2/5/2020 0:19,
 央视新闻 , 01-21 ,Z385,  火车  ,湛江西,海口,,,1/21/2020 11:04,1/21/2020 16:00,2/1/2020 11:54,
 中国海南自贸区港 , 01-21 ,HU7581,  飞机  ,武汉,海口,,1月21日自驾至临高县住处→2月1日确诊,1/21/2020 0:00,1/21/2020 23:59,2/3/2020 20:30,
 哈尔滨新闻综合频道 , 01-21 ,DR6541,  飞机  ,无锡,哈尔滨,,,1/21/2020 0:00,1/21/2020 23:59,2/5/2020 0:19,
 佳木斯市人民政府网站 , 01-21 ,K1227,  火车  ,长春,佳木斯,加1号车厢,,1/21/2020 21:10,1/22/2020 7:56,1/29/2020 19:05,
 央视新闻 , 01-21 ,CA8235,  飞机  ,武汉,海口,,,1/21/2020 0:00,1/21/2020 23:59,2/1/2020 11:54,
 央视新闻 , 01-21 ,HU7658,  飞机  ,武汉,海口,,,1/21/2020 0:00,1/21/2020 23:59,2/1/2020 11:54,
 央视新闻 , 01-21 ,MU2527,  飞机  ,武汉,三亚,,,1/21/2020 0:00,1/21/2020 23:59,2/1/2020 11:54,
 广西壮族自治区卫生健康委员会 , 01-21 ,Z338,  火车  ,武昌,桂林北,8号车厢,8号下铺，1月29日确诊,1/21/2020 7:21,1/21/2020 16:11,2/3/2020 23:09,
 石家庄日报 , 01-21 ,Z50,  火车  ,汉口,石家庄,6车厢,,1/21/2020 23:28,1/22/2020 7:17,2/5/2020 12:18,
 海南日报，海南省卫健委 , 01-21 ,海安港,  轮船  ,徐闻海安,旧港,,,1/21/2020 0:00,1/21/2020 23:59,2/3/2020 1:49,
 海南日报，海南省卫健委 , 01-21 ,铜鼓岭,  轮船  ,徐闻海安,旧港,,,1/21/2020 0:00,1/21/2020 23:59,2/3/2020 1:49,
 益阳在线 , 01-21 ,湘AY0449,  长途客车/大巴  ,长沙市黎托高速汽车站,益阳,,马某曾驾驶该公司湘AY0449营运客车，分别于1月18日下午3时、1月21日下午3时从长沙市黎托高速汽车站运送旅客共计78人至益阳。,1/21/2020 15:00,1/21/2020 23:59,2/1/2020 17:47,
