线索来源,日期,车次/车牌/航班/场所名,出行类型,出发站,到达站,车厢,出行描述,开始时间,结束时间,提交时间,事件备注
 淮北市卫生健康委员会 , 01-27 ,G649,  火车  ,合肥南,广州南,,乘务员，当班,1/27/2020 9:08,1/27/2020 15:42,2/2/2020 21:12,
 人民日报 , 01-27 ,宝鸡公交28路,  公交车  ,宝鸡南站,宝鸡火车站,,,1/27/2020 0:00,1/27/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-27 ,宝鸡公交37路,  公交车  ,宝鸡火车站,群众路同心小区,,,1/27/2020 0:00,1/27/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-27 ,陕AD04981,  出租车  ,不详,西安交大一附院,,绿色出租,1/27/2020 0:00,1/27/2020 23:59,2/6/2020 14:56,
 中国海南自贸区港 , 01-27 ,KA694,  飞机  ,香港,海口,,乘私家车入住定安县某小区,1/27/2020 0:00,1/27/2020 23:59,2/3/2020 20:30,
 合肥市卫健委 , 01-27 ,D958,  火车  ,重庆北,合肥南,3号车厢,座位：14D,1/27/2020 7:59,1/27/2020 15:28,2/7/2020 13:19,
 合肥市卫健委 , 01-27 ,VJ5270,  飞机  ,越南芽庄,合肥,,,1/27/2020 0:00,1/27/2020 23:59,2/7/2020 13:31,
 人民日报 , 01-26 ,宁A00635D,  公交车  ,锦江之星,大团结广场南,银川市8路公交车,,1/26/2020 0:00,1/26/2020 23:59,2/1/2020 20:30,
 央视新闻 , 01-26 ,TR134,  飞机  ,新加坡,西安,,,1/25/2020 18:45,1/26/2020 0:20,1/27/2020 17:54,
 人民日报 , 01-26 ,MF8148,  飞机  ,北京,长沙,53A,,1/26/2020 0:00,1/26/2020 23:59,2/5/2020 12:27,
 辽沈晚报 , 01-26 ,司机微信号：辽G.TTTTT,  出租车  ,锦州市玉泉宫附中南门店,锦州市凌河区元都酒店,,,1/26/2020 20:00,1/26/2020 23:59,2/5/2020 0:19,
 辽沈晚报 , 01-26 ,司机微信号：凌安车棚,  出租车  ,,玉泉宫附中南门店,,,1/26/2020 15:09,1/26/2020 23:59,2/5/2020 0:19,
 云南发布 , 01-26 ,G2801,  火车  ,宜宾,昆明南,3号车厢,,1/26/2020 11:03,1/26/2020 15:20,2/4/2020 1:19,
 人民网-四川频道 , 01-26 ,Z389/K389/K392,  火车  ,福州,成都,8号车厢,襄州站以后下车,1/26/2020 17:03,1/28/2020 4:48,2/3/2020 1:49,
 芜湖发布 , 01-26 ,K1192,  火车  ,新余,芜湖,3号车厢,,1/26/2020 6:36,1/26/2020 16:10,2/7/2020 13:49,
